University,Tuition,TuitionIS,UndergradEnroll
Springfield College,50365,34980,541
St Andrews University,43995,24874,201
St. Gregory's University,35162,21300,100
St. John's College,63690,49758,42
St. John's College,63621,49758,90
Stanford University,66696,47331,1525
Sterling College,48755,32595,26
Stetson University,59766,42890,759
Stillman College,22232,9548,128
Sullivan College of Technology and Design,36031,19356,60
Summit Christian College,12880,5600,6
SUNY College of Technology at Alfred,24177,6470,1155
SUNY Oneonta,23502,6470,1118
Susquehanna University,57580,43160,636
Talladega College,22314,11192,24
Talmudic College of Florida,26650,13000,8
Talmudical Academy-New Jersey,20000,12800,10
Talmudical Institute of Upstate New York,13300,5300,1
Talmudical Seminary of Bobov,15100,7600,104
Talmudical Seminary Oholei Torah,20500,9300,31
Talmudical Yeshiva of Philadelphia,18600,8500,34
Telshe Yeshiva-Chicago,17500,13500,19
Temple University,33048,15384,4945
Tennessee State University,20221,6216,1266
Texas Christian University,60420,42580,1812
The Art Institute of Austin,34047,17568,133
The Art Institute of Las Vegas,35146,17317,180
The Art Institute of Michigan,30561,15300,151
The Art Institute of Philadelphia,36222,17820,222
The Art Institute of Phoenix,32037,17316,142
The Art Institute of Pittsburgh,35217,17532,106
The Art Institute of Raleigh-Durham,33315,17028,81
The Art Institute of San Antonio,33687,17568,120
The Art Institute of Seattle,36471,17460,137
The Art Institute of Tennessee-Nashville,33885,17496,93
The Art Institute of Virginia Beach,34569,17496,71
The Art Institute of Washington,37623,17496,77
The Evergreen State College,20839,6534,565
The Illinois Institute of Art-Schaumburg,35110,17389,65
The King's College,55524,33870,154
The Restaurant School at Walnut Hill College,38560,19650,363
The Southern Baptist Theological Seminary,27516,17376,144
The University of Texas at Austin,25134,10092,8232
The University of Texas Rio Grande Valley,19750,5970,3861
Thiel College,45540,27910,277
Thomas More College,39472,28050,414
Torah Temimah Talmudical Seminary,18250,10750,16
Trevecca Nazarene University,38248,23724,398
Trinity Valley Community College,16311,1080,1096
Truett McConnell University,30830,17850,217
United Talmudical Seminary,21313,13680,435
Universidad Adventista de las Antillas,16250,5750,147
Universidad Pentecostal Mizpa,12016,3720,25
University of Advancing Technology,31120,19937,104
University of Alabama at Birmingham,25808,8040,1974
University of Bridgeport,53618,29550,446
University of California-Santa Cruz,35408,11220,3998
University of Central Florida,22254,4478,6142
University of Chicago,72717,50997,1352
University of Colorado Colorado Springs,24342,6624,2077
University of Illinois at Chicago,30034,11696,3200
University of Indianapolis,41528,26920,985
University of Iowa,21875,7128,5210
University of Jamestown,32000,19930,227
University of Louisiana at Monroe,20526,5788,1313
University of Maine at Farmington,21299,8352,433
University of Maryland Eastern Shore,22192,5105,699
University of Maryland-Baltimore County,26894,8204,1478
University of Massachusetts-Amherst,29268,14590,4280
University of Mobile,37348,20200,219
University of New Haven,54850,35700,1104
University of New Mexico-Main Campus,21750,6664,3346
University of Northwestern Ohio,22890,9622,990
University of Pittsburgh-Bradford,27588,12688,379
University of Pittsburgh-Greensburg,28794,12688,461
University of Pittsburgh-Johnstown,28200,12688,687
University of Pittsburgh-Pittsburgh Campus,32782,17688,3782
University of Pittsburgh-Titusville,27466,10958,113
University of Richmond,63040,49420,733
University of Rochester,67722,49260,1018
University of Saint Mary,39043,25900,122
University of San Diego,63410,45540,1069
University of Scranton,59594,41762,997
University of Sioux Falls,38785,27160,276
University of Southern Indiana,19943,7104,1669
University of Utah,22834,7408,3430
University of Vermont,31960,15096,2068
University of Wisconsin-Superior,19258,6535,326
Uta Mesivta of Kiryas Joel,21100,10500,282
Valley City State University,18206,5282,178
Valor Christian College,14125,4020,46
Vanguard University of Southern California,45340,30980,411
Vermilion Community College,15682,4682,183
Vermont Technical College,26664,12960,215
Vincennes University,19035,5122,2605
Virginia Union University,30386,15152,368
Visible Music College,29500,19500,25
Viterbo University,38160,25460,318
Waldorf University,33100,20160,135
Warner University,33316,20112,178
Washington Adventist University,34630,21800,79
Washington University in St Louis,69754,48950,1646
Wayne State College,17464,4800,578
Webster University,44054,26100,455
Wentworth Military Academy and College,32630,15500,133
West Virginia State University,22019,6996,409
Western Illinois University,25045,8596,1513
Western Kentucky University,20522,9912,3127
Western Technical College,15116,3476,1056
Westmont College,59410,41850,329
Wiley College,23300,9708,222
William Carey University,26985,10800,181
William Jewell College,46610,32247,238
William Peace University,41960,26880,200
Wingate University,43900,29170,604
Word of Life Bible Institute,17450,8360,319
Xavier University,50880,35920,1086
Yeshiva Derech Chaim,19400,11800,8
Yeshiva D'monsey Rabbinical College,15000,6500,10
Yeshiva Gedola Ohr Yisrael,16050,7050,1
Yeshiva Gedolah Kesser Torah,19800,9900,20
Yeshiva Gedolah of Greater Detroit,15000,6700,12
Yeshiva Gedolah Shaarei Shmuel,14010,7700,17
Yeshiva Karlin Stolin,18700,11500,20
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,22250,11000,10
Yeshiva of Machzikai Hadas,25230,8200,83
Yeshiva of Nitra Rabbinical College,16000,8400,60
Yeshiva of the Telshe Alumni,19250,9300,25
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,25800,13200,48
Yeshiva Shaar Hatorah,17730,15000,25
Yeshiva Sholom Shachna,18100,9500,19
Yeshiva Toras Chaim,21500,11950,54
Yeshiva Yesodei Hatorah,19000,11000,18
Yeshivah Gedolah Rabbinical College,17300,8000,10
Yeshivas Be'er Yitzchok,19500,10400,5
Yeshivas Maharit D'Satmar,20300,11500,12
Yeshivas Novominsk,17200,9600,39
Yeshivat Mikdash Melech,16800,8100,3
Yeshivath Beth Moshe,16650,8750,9
Yeshivath Viznitz,17250,9300,95
Yeshivath Zichron Moshe,19100,11500,4
