University,Location,Mission,Tuition,TuitionIS,UndergradEnroll,Choice
California Institute of Technology,"Pasadena, CA","The mission of the California Institute of Technology is to expand human knowledge and benefit society through research integrated with education. We investigate the most challenging, fundamental problems in science and technology in a singularly collegial, interdisciplinary atmosphere, while educating outstanding students to become creative members of society.",63471,43710,223,1
California Lutheran University,"Thousand Oaks, CA","The mission of California Lutheran University is to educate leaders for a global society who are strong in character and judgment, confident in their identity and vocation, and committed to service and justice.",56211,37980,546,1
California State University-Channel Islands,"Camarillo, CA","Placing students at the center of the educational experience, California State University Channel Islands provides undergraduate and graduate education that facilitates learning within and across disciplines through integrative approaches, emphasizes experiential and service learning, and graduates students with multicultural and international perspectives.",26037,5472,905,1
California State University-Stanislaus,"Turlock, CA","The faculty, staff, administrators, and students of California State University, Stanislaus are committed to creating a learning environment which encourages all members of the campus community to expand their intellectual, creative, and social horizons.  We challenge one another to realize our potential, to appreciate and contribute to the enrichment of our diverse community, and to develop a passion for lifelong learning.  To facilitate this mission, we promote academic excellence in the teaching and scholarly activities of our faculty, encourage personalized student learning, foster interactions and partnerships with our surrounding communities, and provide opportunities for the intellectual, cultural, and artistic enrichment of the region.",20364,5472,1259,0
Calvary Bible College and Theological Seminary,"Kansas City, MO","Calvary Bible College and Theological Seminary is an independent, nondenominational institution, providing undergraduate and graduate education which prepares Christians to live and serve in the church and the world according to a biblical worldview. This is accomplished by providing appropriate educational curricula and a climate that fosters the development of intellectual and spiritual maturity, leadership potential, servanthood, and a sense of mission.",18576,10080,33,0
Campbellsville University,"Campbellsville, KY","Campbellsville University is a comprehensive, Christian institution that offers pre-professional, undergraduate and graduate programs. The university is dedicated to academic excellence solidly grounded in the liberal arts that fosters personal growth, integrity and professional preparation within a caring environment. The university prepares students as Christian servant leaders for life-long learning, continued scholarship, and active participation in a diverse, global society.",36172,23328,468,0
Carl Albert State College,"Poteau, OK","To provide affordable, accessible and exceptional education that fosters student success.",12076,2073,766,0
Carson-Newman University,"Jefferson City, TN",Our mission as Christian educators is to help our students reach their full potential as educated citizens and worldwide servant-leaders.,38544,24200,483,0
Castleton University,"Castleton, VT","Castleton, the 18th oldest institution of higher education in the United States, emphasizes undergraduate liberal arts and professional education while also offering selected graduate programs.  The College is dedicated to the intellectual and personal growth of students through excellence in teaching, close student-faculty interaction, numerous opportunities for outside-the-classroom learning, and an active and supportive campus community. Castleton strives to learn, use, and teach sustainable practices. The College prepares its graduates for meaningful careers; further academic pursuits; and engaged, environmentally responsible citizenship.  As a member of the Vermont State Colleges, Castleton is committed to supporting and improving the region's communities, schools, organizations, businesses, and environment.",23382,10248,426,0
Centenary College,"Hackettstown, NJ","Centenary College is an inclusive and collaborative learning community dedicated to preparing its students to enter society as professional and global citizens by providing experiences that foster skills of critical thought and purposeful action. The Centenary experience is distinguished by a fundamental belief in the full potential of each student, a strong liberal arts foundation, career preparation, and a culture of service to the community and to the world.",46899,30094,225,0
Central Methodist University-College of Liberal Arts and Sciences,"Fayette, MO","""Central Methodist University prepares students to make a difference in the world by emphasizing academic and professional excellence, ethical leadership, and social responsibility.""",35660,21630,273,0
Chapman University,"Orange, CA","To provide personalized education of distinction that leads to inquiring, ethical and productive lives as global citizens.",64650,46500,1356,0
Cincinnati Christian University,"Cincinnati, OH","The mission of Cincinnati Christian University is Cincinnati Christian University exists to develop selfless, well-rounded leaders who follow Christ and positively impact their community, country, and world.",30086,15966,94,0
Clark Atlanta University,"Atlanta, GA","Clark Atlanta University is an urban research university characterized by a focus on the intellectual and personal development of each student. Leveraging its distinctive history, the mission of Clark Atlanta University is to transform the lives of students and their communities by preparing citizen leaders to be problem-solvers through innovative learning programs; supportive interactions with faculty, staff, and students; exemplary scholarship; and purposeful service.",36988,19880,838,0
College for Creative Studies,"Detroit, MI","The College for Creative Studies nurtures the creativity that is vital to the enrichment of modern culture. The College educates visual artists and designers, knowledgeable in varied fields, who will be leaders in creative professions that shape society and advance economic growth. The College fosters students' resolve to pursue excellence, act ethically, embrace their responsibilities as citizens of diverse local and global communities, and learn throughout their lives. The College engages in community service by offering opportunities for artistic enrichment and opening career pathways to talented individuals of all ages.",54100,37560,272,0
College of St Joseph,"Rutland, VT","The College of St. Joseph is an independent Catholic college that educates men and women of varied faiths and backgrounds for lives of continuing personal and professional growth, intellectual development, and service to the community.",35900,21100,41,0
College of the Siskiyous,"Weed, CA","MISSION College of the Siskiyous promotes learning and provides academic excellence for the students of Siskiyou County, the State of California, the nation and the world. COS provides accessible, flexible, affordable, and innovative education leading to associate degrees, certificates, college transfer, career and technical education, workforce training, and basic skills preparation.",15002,1104,303,0
Commonwealth Technical Institute,"Johnstown, PA",The mission of the Commonweatlh Technical Institute at the Hiram G. Andrews Center (CTI@HGA) is to offer quality individualized post-secondary education which provides career opportunities and independent life skills.,33706,16836,97,1
Concordia College-New York,"Bronxville, NY","Concordia College, New York, a college of The Lutheran Church--Missouri Synod, engages and nurtures a diverse student body in a Christ-centered, value-oriented, liberal arts education for lives of service to church and community.",43724,28570,119,0
Converse College,"Spartanburg, SC","The primary mission of Converse College, founded in 1889, is the liberal education of undergraduate women in a residential setting. Converse reaffirms the founder's original conviction that a small undergraduate residential college of the liberal arts is a uniquely powerful environment for developing the talents of women. As a community of scholars, where students and faculty pursue excellence and collaborate in the search for truth, Converse develops in students scholarly excellence, personal honor, confidence, and skills to be life-long learners. The College draws much of its character from its Christian heritage and welcomes students of all faiths. Converse expands its mission by offering graduate degrees and other programs for women and men. Ultimately, graduates embody the qualities of a Converse education as they assume roles of leadership, service, and citizenship.",32177,15500,209,0
Corning Community College,"Corning, NY","Corning Community College serves life-long learners in our region by providing access to high-quality, affordable transfer, career, and workforce development educational opportunities. Our learning environment fosters diversity, empowerment, leadership, and teamwork for academic, professional, and personal success. We collaborate locally and promote global awareness for social, environmental, and economic sustainability.",16374,4230,744,0
Cottey College,"Nevada, MO","Cottey College, an independent liberal arts college, educates women to be contributing members of a global society through a challenging curriculum and a dynamic campus experience.  In our diverse and supportive environment, women develop their potential for personal and professional lives of intellectual engagement and thoughtful action as learners, leaders, and citizens.",28750,18400,139,0
Crowder College,"Neosho, MO","Crowder College Mission Statement: Building a civil, serving, literate, learning community of responsible citizens.",12014,2928,1123,0
Dakota State University,"Madison, SD","DSU provides learning that integrates technology and innovation to develop graduates ready to contribute to local, national, and global prosperity.",19265,4170,340,0
Davis & Elkins College,"Elkins, WV",To prepare and inspire students for success and for thoughtful engagement in the world.,40755,27000,193,0
Delaware State University,"Dover, DE","Delaware State University is a public, comprehensive, 1890 land-grant institution that offers access and opportunity to diverse populations from Delaware, the nation, and the world. Building on its heritage as a historically black college, the University purposefully integrates the highest standards of excellence in teaching, research, and service in its baccalaureate, master's and doctoral programs. Its commitment to advance science, technology, liberal arts, and the professions produces capable and productive leaders who contribute to the sustainability and economic development of the global community.",22057,6702,845,0
Dickinson College,"Carlisle, PA","Dickinson College was created explicitly for high purposes- to prepare young people, by means of a useful education in the liberal arts and sciences, for engaged lives of citizenship and leadership in the service of society.",64541,49014,645,0
Dickinson State University,"Dickinson, ND","Dickinson State University is a regional four-year institution within the North Dakota University System, whose primary role is to contribute to intellectual, social, economic, and cultural development, especially to Southwestern North Dakota. The University's mission is to provide high-quality, accessible programs; to promote excellence in teaching and learning; to support scholarly and creative activities; and to provide service relevant to the economy, health, and quality of life for the citizens of the State of North Dakota.",17352,5013,200,0
Dillard University,"New Orleans, LA","True to its heritage, Dillard University's mission is to produce graduates who excel, become world leaders and are broadly educated, culturally aware and concerned with improving the human condition.  Through a highly personalized and learning centered approach, Dillard's students are able to meet the competitive demands of a diverse, global and technologically advanced society.",31157,15038,297,0
Dodge City Community College,"Dodge City, KS","The mission of Dodge City Community College is to provide challenging and diverse opportunities for the pursuit of learning and to enhance personal and community development in a responsible, accessible, and learner-centered environment.",13578,1350,421,0
Dowling College,"Oakdale, NY","Dowling College is an independent comprehensive educational institution in the liberal arts tradition whose mission is to prepare students to succeed in a wide range of careers and creative pursuits. We prepare a diverse student population to lead and contribute to a global community through collaboration between an expert faculty and a dedicated staff, all of whom are devoted to a supportive, individualized learning environment.",44672,29500,206,0
East Central University,"Ada, OK","East Central University's mission is to foster a learning environment in which students, faculty, staff, and community interact to educate students for life in a rapidly changing and culturally diverse society. Within its service area, East Central University provides leadership for economic development and cultural enhancement.",14552,4511,614,0
East Georgia State College,"Swainsboro, GA","East Georgia State College is an associate degree granting, liberal arts institution of the University System of Georgia providing its students access to both academically transferable programs of study and collaborative programs in occupation related fields. The College also offers targeted baccalaureate level degrees that support the University System's initiative to expand educational opportunities. The College prepares traditional and nontraditional students for success in the global 21st century through a technologically advanced teaching and learning environment that fosters personal growth by utilizing an expanding range of resources and amenities, including an on-campus student residential option. The College also continuously engages the communities it serves through public service and cultural enrichment.",14349,2181,1147,1
East Stroudsburg University of Pennsylvania,"East Stroudsburg, PA","East Stroudsburg University of Pennsylvania will provide: •Challenging and contemporary undergraduate and graduate curricula that engage and equip students to critically appraise and apply knowledge in their lives and chosen fields of study. •A scholarly community that promotes diversity and views teaching as the university's primary focus. •Varied opportunities for student and faculty research, creative endeavors and involvement in public service. •Leadership and service in the educational, cultural and economic development of the region.",22128,7060,1296,0
Eastern Kentucky University,"Richmond, KY","As a comprehensive public institution, Eastern Kentucky University prepares students to lead productive, responsible, and enriched lives. To accomplish this mission, the University emphasizes 1) Student Success, 2) Regional Stewardship and, 3) Critical and Creative Thinking and Effective Communication. Eastern Kentucky University will be an accessible, nurturing, and academically rigorous center of learning and scholarship that transforms lives and communities and enables them to adapt and succeed in a dynamic, global society.",20172,8150,2771,0
Eastern Michigan University,"Ypsilanti, MI","Eastern Michigan University is committed to excellence in teaching through traditional and innovative approaches, the extension of knowledge through basic and applied research, and creative and artistic expression.  Building on a proud tradition of national leadership in the preparation of teachers, we maximize educational opportunities and personal and professional growth for students from diverse backgrounds through an array of baccalaureate, master's and doctoral programs.  We strive to provide a student-focused learning environment that enhances the lives of students and positively impacts the community. We extend our commitment beyond the campus boundaries to the wider community through service initiatives, and public and private partnerships of mutual interest addressing local, regional, national and international opportunities and challenges.",22351,8888,2838,0
Eastern Oklahoma State College,"Wilburton, OK","The mission of Eastern Oklahoma State College is to generate student learning through its associate degrees and other academic programs which effectively prepare graduates to complete baccalaureate degrees, obtain productive employment, and lead enriched lives of learning. It is simultaneously the mission of the College to engage in educational programming and related activities that promote regional economic and community development.",13664,2863,353,0
Eastern Wyoming College,"Torrington, WY","Eastern Wyoming College is a student-centered, comprehensive community college that responds to the educational, cultural, social, and economic needs of its communities with quality, affordable educational opportunities for dynamic lifelong learning.",13542,1992,215,0
Edmonds Community College,"Lynnwood, WA","Edmonds Community College strengthens our diverse community by helping students access educational and career opportunities in a supportive environment that encourages success, innovation, service, and lifelong learning.",18568,3388,510,0
Elizabeth City State University,"Elizabeth City, NC","Elizabeth City State University, a constituent institution of the University of North Carolina, offers baccalaureate, graduate, and professional programs for a diverse student body.  The institution's rich heritage provides a firm foundation for its educational endeavors, as well as its role in serving the needs and aspirations of individuals and society.   Through teaching, research, and community engagement, Elizabeth City State University provides a student-centered environment, delivered in a manner that enhances student learning, while preparing its graduates for leadership roles and lifelong learning. The university is also a leader in facilitating sustainable economic growth, while safeguarding the unique culture and natural resources of the region.",13661,2820,268,0
Emmanuel College,"Boston, MA","Mission Statement: To educate students in a dynamic learning community rooted in the liberal arts and sciences and shaped by strong ethical values, a commitment to social justice and service, the Catholic intellectual tradition and the global mission of the Sisters of Notre Dame de Namur.",53815,36284,544,0
Emmanuel College,"Franklin Springs, GA","Emmanuel College is a Christ centered-community, liberal arts institution which strives to prepare students to become Christ-like disciples who integrate faith, learning and living for effective careers, scholarship and service.",28770,18540,221,0
Evangel University,"Springfield, MO",Evangel University is a comprehensive Christian university committed to excellence in educating and equipping students to become Spirit-empowered servants of God who impact the Church and society globally.,33829,20266,362,0
Felician University,"Lodi, NJ","Felician is an independent co-educational Catholic/Franciscan College founded and sponsored by the Felician Sisters to educate a diverse population of students within the framework of a liberal arts tradition. Its mission is to provide a full complement of learning experiences, reinforced with strong academic and student development programs designed to bring students to their highest potential and prepare them to meet the challenges of the new century with informed minds and understanding hearts. The enduring purpose of Felician College is to promote a love for learning, a desire for God, self knowledge, service to others, and respect for all creation.",47425,29550,294,0
Finlandia University,"Hancock, MI","A learning community dedicated to academic excellence, spiritual growth and service.",34288,21610,159,0
Florida Institute of Technology,"Melbourne, FL","With our focus on student success, Florida Institute of Technology's mission is to provide high-quality educational experiences to a culturally diverse student body in order to prepare them for entering the global workforce, seeking higher-education opportunities, and serving within their communities.  The university also seeks to further knowledge through basic and applied research and to serve the diverse economic, cultural, and societal needs of our local, state, national and international constituencies.  In support of this mission, we are committed to: -	Fostering and sustaining a productive institutional culture of assessment leading to the continuous improvement of academic and administrative programs in order to promote student development; -	Developing an organizational culture that values and encourages intellectual curiosity, a sense of belonging and shared purpose among faculty, students and staff, and pursuit of excellence in all endeavors; -	Recruiting and developing faculty who are internationally recognized as educators, scholars and researchers; -	Achieving recognition as an effective, innovative, technology-focused educational and research institution; -	Recruiting and retaining an excellent, high selective and culturally diverse student body; -	Continually improving the quality of campus life for members of the university community; -	Providing personal and career growth opportunities for both traditional and nontraditional students and members of the faculty and staff, including those who avail themselves of Florida Tech University Online; -	Securing and maintaining professional accreditation for all appropriate programs.",56990,38540,455,1
Florida International University,"Miami, FL","Florida International University is an urban, multi-campus, public research university serving its students and the diverse population of South Florida. We are committed to high-quality teaching, state-of-the-art research and creative activity, and collaborative engagement with our local and global communities.",23240,4721,3620,0
Florida Keys Community College,"Key West, FL","Florida Keys Community College is an open-access, educational institution dedicated to serving the intellectual, diverse, cultural, and occupational needs of the Florida Keys as well as the global community. The college is committed to student-centric academic programs and services, workforce development, continuing education, diverse partnerships, electronically delivered instruction, and sustainable practices that prepare students for personal success and responsible citizenship.",16939,2483,170,0
Fort Hays State University,"Hays, KS","Fort Hays State University provides accessible quality education to Kansas, the nation, and the world through an innovative community of teacher-scholars and professionals to develop engaged global citizen-leaders.",17122,3574,940,0
Fort Valley State University,"Fort Valley, GA","The mission of Fort Valley State University is to advance the cause of education with emphasis upon fulfilling commitments that our community members have undertaken collectively. As an institution of the University System of Georgia, Fort Valley State University naturally embraces the principles articulated by the Core Mission Statement for State Universities as approved by the Board of Regents of the University System of Georgia. The university's primary commitments include, among others, enhancement of teacher training programs grounded upon a liberal arts foundation, as reflective of over 110 years of experience and tradition. Additionally, the university recognizes with great pride and desires to further its responsibilities as Georgia's only 1890 Land Grant institution by offering programming excellence in agriculture, agribusiness, family and consumer sciences, extension, technology and military science and leadership, as well as to further its traditions of excellence in programs in the liberal arts and humanities, social sciences, and natural and physical sciences.",19949,3886,439,0
Gadsden State Community College,"Gadsden, AL","Gadsden State Community College serves its diverse communities by offering quality academic education, workforce development, and adult education opportunities that are accessible and affordable and that foster lifelong learning and global awareness.",10640,3450,1143,0
Georgia State University,"Atlanta, GA","Georgia State University, an enterprising public research university, transforms the lives of students, advances the frontiers of knowledge and strengthens the workforce of the future. The university provides an outstanding education and exceptional support for students from all backgrounds. Georgia State readies students for professional pursuits, educates future leaders, and prepares citizens for lifelong learning. Enrolling one of the most diverse student bodies in the nation at its urban research campus, at its vibrant branch campuses, and online, the university provides educational opportunities for tens of thousands of students at the graduate, baccalaureate, associate, and certificate levels.  Georgia State’s scholarship and research focus on solving complex issues ranging from the most fundamental questions of the universe to the most challenging issues of our day. The scholarly work and artistic expression of the university’s faculty create new knowledge, extend the boundaries of imagination, and enhance student learning. The university’s presence in the Atlanta metropolitan area provides extraordinary experiential learning opportunities and supports the work of faculty tackling the challenges of an urbanizing nation and world.",26214,6846,3626,0
Grambling State University,"Grambling, LA","Mission Statement: Grambling State University is a comprehensive, historically-black, public institution that offers a broad spectrum of undergraduate and graduate programs of study. Through its undergraduate major courses of study, which are under girded by a traditional liberal arts program, and through its graduate school, which has a decidedly professional focus, the University embraces its founding principle of educational opportunity. With a commitment to the education of minorities in American society, the University seeks to reflect in all of its programs the diversity present in the world. The university advances the study and preservation of African American history, art and culture. Grambling State University is a community of learners who strive for excellence in their pursuit of knowledge and who seek to contribute to their respective major academic disciplines. The University prepares its graduates to compete and succeed in careers related to its programs of study, to contribute to the advancement of knowledge, and to lead productive lives as informed citizens in a democratic society. The University provides its students a living and learning environment which nurtures their development for leadership in academics, athletics, campus governance, and in their future pursuits. The University affords each student the opportunity to pursue any program of study provided that the student makes reasonable progress and demonstrates that progress in standard ways. Grambling fosters, in its students, a commitment to service and to the improvement in the quality of life for all persons. The University expects that all persons who matriculate and who are employed at Grambling will reflect through their study and work that the University is indeed a place where all persons are valued, “where everybody is somebody.",25108,5276,611,0
Grand Valley State University,"Allendale, MI","Grand Valley State University educates students to shape their lives, their professions and their societies. The university contributes to the enrichment of society through excellent teaching, active scholarship and public service.",22263,11363,4082,0
Grinnell College,"Grinnell, IA","When Grinnell College framed its charter in the Iowa Territory of the United States in 1846, it set forth a mission to educate its students ""for the different professions and for the honorable discharge of the duties of life."" The College pursues that mission by educating young men and women in the liberal arts through free inquiry and the open exchange of ideas. As a teaching and learning community, the College holds that knowledge is a good to be pursued both for its own sake and for the intellectual, moral, and physical well-being of individuals and of society at large. The College exists to provide a lively academic community of students and teachers of high scholarly qualifications from diverse social and cultural circumstances. The College aims to graduate women and men who can think clearly, who can speak and write persuasively and even eloquently, who can evaluate critically both their own and others' ideas, who can acquire new knowledge, and who are prepared in life and work to use their knowledge and their abilities to serve the common good.",61498,46574,357,0
Harcum College,"Bryn Mawr, PA","Harcum College provides its students with an opportunity  for outstanding academic, career, and life preparation. We  teach, mentor and prepare students for success in their  chosen profession in an experiential environment. Harcum’s  core values of excellence, civility, empowerment, integrity,  community service and respect for diversity assure that every  student is valued and supported.",35155,21900,295,1
Harvard University,"Cambridge, MA","Harvard University (comprising the undergraduate college, the graduate schools, other academic bodies, research centers and affiliated institutions) does not have a formal mission statement.  The mission of Harvard College is to educate the citizens and citizen-leaders for our society. We do this through our commitment to the transformative power of a liberal arts and sciences education.",64400,41632,1471,0
Harvey Mudd College,"Claremont, CA","Harvey Mudd College seeks to educate engineers, scientists, and mathematicians well versed in all of these areas and in the humanities and the social sciences so that they may assume leadership in their fields with a clear understanding of the impact of their work on society.",69355,50368,185,0
Hellenic College-Holy Cross Greek Orthodox School of Theology,"Brookline, MA","To be the intellectual, educational, and spiritual formation center of the Greek Orthodox Archdiocese of America, stimulating,developing, and sustaining ordained and lay vocations for service to church and society, based on faith.",42682,21940,30,0
Hesston College,"Hesston, KS","Hesston College, a college of Mennonite Church USA, educates and nurtures each student within Christ-centered community, integrating thought, life and faith for service to others in the church and the world.",37478,24824,130,0
Highlands College of Montana Tech,"Butte, MT","Montana Tech's Highlands College prepares traditional and non-traditional students for their personal and/or educational goals through the integration of technology, communications, problem solving, and technical skills. We are committed to expand education opportunities through: service learning with work-based activities, a blend of theory and practice, alternative course deliver, and computer literacy.",16323,2380,139,0
Hillsdale Free Will Baptist College,"Moore, OK","Hillsdale Free Will Baptist College is a Christian institution of higher education committed to the intellectual, spiritual, social, moral, and physical development of its students.  It seeks to prepare students to serve the Lord Jesus Christ, both in the church and in society at large.",26304,9580,106,0
Howard Payne University,"Brownwood, TX","Howard Payne University is a Christ-centered academic community dedicated to excellence by developing and equipping the whole person for intellectual inquiry, personal and professional integrity, and service to God and humanity.",36984,23600,281,0
Howard University,"Washington, DC","Howard University, a culturally diverse, comprehensive, research intensive and historically Black private university, provides an educational experience of exceptional quality at the undergraduate, graduate, and professional levels to students of high academic standing and potential, with particular emphasis upon educational opportunities for Black students. Moreover, the University is dedicated to attracting and sustaining a cadre of faculty who are, through their teaching, research and service, committed to the development of distinguished, historically aware, and compassionate graduates and to the discovery of solutions to human problems in the United States and throughout the world. With an abiding interest in both domestic and international affairs, the University is committed to continuing to produce leaders for America and the global community.",43116,22737,1561,0
Huntingdon College,"Montgomery, AL","Huntingdon College, a liberal arts college offering an undergraduate education, is committed to a teaching and learning environment that provides its graduates with an educational experience meeting the College’s vision.",35935,21975,252,0
Hutchinson Community College,"Hutchinson, KS",Expanding the tradition of excellence through learning and collaboration.,13770,2560,1003,1
Ilisagvik College,"Barrow, AK","Ilisagvik College provides quality post-secondary academic, vocational and technical education in a learning environment that perpetuates and strengthens Iñupiat culture, language, values and traditions. It is dedicated to providing well educated and trained individuals who meet the human resource needs of North Slope employers and the state of Alaska.",20120,3000,16,0
Indiana University-Bloomington,"Bloomington, IN","Bloomington is the flagship residential, doctoral-extensive campus of Indiana University. Its mission is to create, disseminate, preserve, and apply knowledge. It does so through its commitments to cutting-edge research, scholarship, arts, and creative activity; to challenging and inspired undergraduate, graduate, professional, and lifelong education; to culturally diverse and international educational programs and communities; to first-rate library and museum collections; to economic development in the state and region; and to meaningful experiences outside the classroom. The Bloomington campus is committed to full diversity, academic freedom, and meeting the changing educational and research needs of the state, the nation, and the world.",24539,9087,7152,0
Indiana University-Purdue University-Indianapolis,"Indianapolis, IN","Indiana University–Purdue University Indianapolis (IUPUI), a partnership between Indiana and Purdue Universities, is Indiana’s urban research and academic health sciences campus. IUPUI's mission is to advance the State of Indiana and the intellectual growth of its citizens to the highest levels nationally and internationally through research and creative activity, teaching and learning, and civic engagement. By offering a distinctive range of bachelor’s, master’s, professional, and Ph.D. degrees, IUPUI promotes the educational, cultural, and economic development of central Indiana and beyond through innovative collaborations, external partnerships, and a strong commitment to diversity.",22296,8009,3812,0
Indiana University-South Bend,"South Bend, IN","Indiana University South Bend is the comprehensive undergraduate and graduate regional campus of Indiana University that is committed to serving north central Indiana and southwestern Michigan. Its mission is to create, disseminate, preserve, and apply knowledge. The campus is committed to excellence in teaching, learning, research, and creative activity; to strong liberal arts and sciences programs and professional disciplines; to acclaimed programs in the arts and nursing/health professions; and to diversity, civic engagement, and a global perspective. IU South Bend supports student learning, access and success for a diverse residential and nonresidential student body that includes underrepresented and international students. The campus fosters student-faculty collaboration in research and learning. Committed to the economic development of its region and state, Indiana University South Bend meets the changing educational and research needs of the community and serves as a vibrant cultural resource.",19292,6393,882,0
Indiana University-Southeast,"New Albany, IN","Indiana University Southeast is the regional campus of Indiana University that serves southern Indiana and the greater Louisville metropolitan area. As a public comprehensive university, its mission is to provide high-quality educational programs and services that promote student learning and prepare students for productive citizenship in a diverse society, and to contribute to the intellectual, cultural, and economic development of the region. Its academic programs include a comprehensive array of baccalaureate degrees, a limited number of associate degrees, and a selected set of master's programs. The campus is committed to offering educational programs and services which promote and support diversity in all its aspects. The faculty engage in research and creative activities which strengthen teaching and learning through inquiry into both the content and the pedagogy of the disciplines and create opportunities for students to engage in applied learning. Finally, members of the campus community are committed to using their professional and personal expertise to address the intellectual, cultural, and economic development needs of the campus’ service region.",19893,6356,926,0
Iowa Western Community College,"Council Bluffs, IA","Iowa Western Community College is a learning community committed to excellence in meeting the educational needs and improving the quality of life through programs, partnerships, and community involvement.",18098,4768,1177,0
