University,Tuition,TuitionIS,UndergradEnroll
Northeastern Junior College,17123,3132,353
Northeastern Oklahoma A&M College,14692,2340,692
Northwestern State University of Louisiana,20146,5180,1255
Oak Hills Christian College,27604,15900,22
Oakland University,23222,12431,2639
Odessa College,12151,3240,959
Ohio University-Main Campus,26494,11075,4375
Oklahoma Christian University,31770,19890,429
Oklahoma State University Institute of Technology,14731,3720,505
Olivet College,37182,23950,239
Onondaga Community College,17896,4430,2242
Pacific Lutheran University,51838,37600,625
Pacific University,54036,38950,472
Panola College,16077,600,431
Paul Smiths College of Arts and Science,44050,23500,247
Peru State College,17730,4590,243
Philander Smith College,25240,11804,170
Piedmont International University,22935,8850,30
Pierpont Community and Technical College,16876,4460,389
Presbyterian College,49580,33200,261
Purdue University-Calumet Campus,21474,6217,958
Radford University,21969,6788,1953
Rensselaer Polytechnic Institute,66172,48100,1213
Rhodes College,57714,42914,549
Robert Morris University,43404,26330,824
Rust College,16100,9500,240
Saint Peter's University,50966,33136,559
Salish Kootenai College,16804,5076,146
School of Visual Arts,58613,35000,419
Scripps College,66060,48938,254
Seattle University,56481,38970,964
Seton Hill University,46732,31420,385
Shawnee State University,22132,6251,895
Sheridan College,12356,1992,544
Skagit Valley College,18000,3800,569
Soka University of America,46504,28938,76
South Dakota School of Mines and Technology,24470,4530,489
South Georgia State College,16517,2181,991
South Georgia Technical College,7274,2136,470
Southern Maine Community College,16904,2700,1204
Southern Union State Community College,13127,3450,1199
Southern Wesleyan University,36230,23020,180
Southwest Mississippi Community College,9320,2400,540
Southwestern Michigan College,18154,4549,638
Southwestern University,50840,37560,352
Spalding University,37224,24000,179
Spring Arbor University,36936,24910,286
St Andrews University,42100,24390,125
St John's College,62097,48544,84
Summit Christian College,12168,5600,8
SUNY College of Technology at Alfred,23885,6470,1049
SUNY Oneonta,22914,6470,1116
Susquehanna University,55450,41500,659
Talmudical Yeshiva of Philadelphia,18850,8650,31
Temple University,31638,14898,4742
Tennessee State University,19467,6072,1334
Texas Christian University,58270,40630,1993
The Evergreen State College,22348,7512,592
The University of Texas at Austin,26322,9806,7346
Thiel College,44204,27038,204
Thomas More College,39693,27268,276
Trinidad State Junior College,17263,3132,264
Union University,48397,28200,332
Universidad Adventista de las Antillas,16250,5750,203
University of Arkansas,23506,7028,4817
University of Bridgeport,52393,28800,358
University of California-Santa Cruz,34764,11220,3359
University of Central Florida,22222,4478,6278
University of Chicago,70100,49026,1292
University of Dayton,53530,39090,2018
University of Delaware,26650,11230,4366
University of Illinois at Chicago,29574,11546,3369
University of Indianapolis,40658,25910,922
University of Louisiana at Monroe,19546,5484,1340
University of Maryland-Baltimore County,26506,8044,1468
University of Massachusetts-Amherst,28074,11684,4356
University of Michigan-Ann Arbor,27812,14401,5826
University of Nebraska at Omaha,20350,5420,1983
University of New Haven,53030,34330,1195
University of New Mexico-Los Alamos Campus,16342,1904,87
University of New Mexico-Main Campus,20665,5815,3279
University of North Carolina Wilmington,22151,4188,2010
University of Pittsburgh-Bradford,24398,12452,349
University of Pittsburgh-Greensburg,25566,12452,402
University of Pittsburgh-Johnstown,25008,12452,706
University of Pittsburgh-Pittsburgh Campus,31696,17292,3847
University of Pittsburgh-Titusville,24262,10754,141
University of Saint Mary,37665,24900,133
University of San Diego,61569,44000,1036
University of Southern Indiana,18751,6838,1670
University of Vermont,31000,14664,2344
University of Wisconsin-Green Bay,19120,6298,771
University of Wisconsin-Madison,24673,9273,5781
University of Wisconsin-Stevens Point,17600,6298,1762
University of Wisconsin-Superior,19166,6535,301
Valley City State University,17863,5153,207
Vermont Technical College,25836,12456,209
Vincennes University,18241,4937,2858
Virginia Union University,28756,14430,456
Viterbo University,36810,24360,280
Wartburg College,48600,36210,339
Washington University in St Louis,67751,47300,1602
Wayne State College,16550,4590,629
Western Illinois University,25406,8464,1527
Western Kentucky University,19721,9482,3034
Westmont College,57400,40320,330
Wingate University,42540,27930,649
Xavier University,49220,34050,1132
