University,Location,Mission,Tuition,TuitionIS,UndergradEnroll,Choice
Corning Community College,"Corning, NY","Corning Community College serves life-long learners in our region by providing access to high-quality, affordable transfer, career, and workforce development educational opportunities. Our learning environment fosters diversity, empowerment, leadership, and teamwork for academic, professional, and personal success. We collaborate locally and promote global awareness for social, environmental, and economic sustainability.",17260,4518,776,0
Cottey College,"Nevada, MO","Cottey College, an independent liberal arts and sciences college, educates women to be contributing members of a global society through a challenging curriculum and a dynamic campus experience.  In our diverse and supportive environment, women develop their potential for personal and professional lives of intellectual engagement and thoughtful action as learners, leaders, and citizens.",31140,19100,77,0
Cowley County Community College,"Arkansas City, KS","Cowley College is committed to providing opportunities for learning excellence, personal achievement, and community engagement.",14755,2015,648,0
Crowder College,"Neosho, MO","Crowder College Mission Statement: Building a civil, serving, literate, learning community of responsible citizens.",13342,3288,1048,1
Davis & Elkins College,"Elkins, WV",To prepare and inspire students for success and for thoughtful engagement in the world.,42396,28500,218,0
Delaware State University,"Dover, DE","Delaware State University is a public, comprehensive, 1890 land-grant institution that offers access and opportunity to diverse populations from Delaware, the nation, and the world. Building on its heritage as a historically black college, the University purposefully integrates the highest standards of excellence in teaching, research, and service in its baccalaureate, master's and doctoral programs. Its commitment to advance science, technology, liberal arts, and the professions produces capable and productive leaders who contribute to the sustainability and economic development of the global community.",23420,7038,862,0
Dickinson College,"Carlisle, PA","Dickinson College was created explicitly for high purposes- to prepare young people, by means of a useful education in the liberal arts and sciences, for engaged lives of citizenship and leadership in the service of society.",69071,52480,514,0
Dine College,"Tsaile, AZ","Rooted in Diné language and culture, our mission is to advance quality post-secondary student learning and development to ensure the well-being of the Diné People.",12000,1320,126,0
Dodge City Community College,"Dodge City, KS","The mission of Dodge City Community College is to provide challenging and diverse opportunities for the pursuit of learning and to enhance personal and community development in a responsible, accessible, and learner-centered environment.",14388,1470,486,0
East Central University,"Ada, OK","East Central University's mission is to foster a learning environment in which students, faculty, staff, and community interact to educate students for life in a rapidly changing and culturally diverse society. Within its service area, East Central University provides leadership for economic development and cultural enhancement.",17854,5301,446,0
East Georgia State College,"Swainsboro, GA","East Georgia State College is an associate degree granting, liberal arts institution of the University System of Georgia providing its students access to both academically transferable programs of study and collaborative programs in occupation related fields. The College also offers targeted baccalaureate level degrees that support the University System's initiative to expand educational opportunities. The College prepares traditional and nontraditional students for success in the global 21st century through a technologically advanced teaching and learning environment that fosters personal growth by utilizing an expanding range of resources and amenities, including an on-campus student residential option. The College also continuously engages the communities it serves through public service and cultural enrichment.",15915,2224,958,0
East Stroudsburg University of Pennsylvania,"East Stroudsburg, PA","East Stroudsburg University of Pennsylvania will provide: •Challenging and contemporary undergraduate and graduate curricula that engage and equip students to critically appraise and apply knowledge in their lives and chosen fields of study. •A scholarly community that promotes diversity and views teaching as the university's primary focus. •Varied opportunities for student and faculty research, creative endeavors and involvement in public service. •Leadership and service in the educational, cultural and economic development of the region.",22960,7492,1284,1
Eastern Maine Community College,"Bangor, ME","Eastern Maine Community College provides the highest quality post-secondary technical, career, and transfer education and serves as a dynamic community and economic resource.",18089,2760,469,1
Eastern Michigan University,"Ypsilanti, MI","Eastern Michigan University is committed to excellence in teaching through traditional and innovative approaches, the extension of knowledge through basic and applied research, and creative and artistic expression.  Building on a proud tradition of national leadership in the preparation of teachers, we maximize educational opportunities and personal and professional growth for students from diverse backgrounds through an array of baccalaureate, master's and doctoral programs.  We strive to provide a student-focused learning environment that enhances the lives of students and positively impacts the community. We extend our commitment beyond the campus boundaries to the wider community through service initiatives, and public and private partnerships of mutual interest addressing local, regional, national and international opportunities and challenges.",25307,11919,2762,1
Eastern University,"Saint Davids, PA",University:  http://www.eastern.edu/about/mission Seminary: http://www.palmerseminary.edu/about/mission-statement Esperanza: http://esperanza.eastern.edu/about/mission-vision,48250,31700,378,0
Eastern Wyoming College,"Torrington, WY","Eastern Wyoming College is a student-centered, comprehensive community college that responds to the educational, cultural, social, and economic needs of its communities with quality, affordable educational opportunities for dynamic lifelong learning.",14010,2256,212,0
Elizabeth City State University,"Elizabeth City, NC","Elizabeth City State University, a constituent institution of the University of North Carolina, offers baccalaureate, graduate, and professional programs for a diverse student body.  The institution's rich heritage provides a firm foundation for its educational endeavors, as well as its role in serving the needs and aspirations of individuals and society.   Through teaching, research, and community engagement, Elizabeth City State University provides a student-centered environment, delivered in a manner that enhances student learning, while preparing its graduates for leadership roles and lifelong learning. The university is also a leader in facilitating sustainable economic growth, while safeguarding the unique culture and natural resources of the region.",14036,2856,346,0
Embry-Riddle Aeronautical University-Daytona Beach,"Daytona Beach, FL","Our mission is to teach the science, practice and business of aviation and aerospace, preparing students for productive careers and leadership roles in service around the world. Our technologically enriched, student-centered environment emphasizes learning through collaboration and teamwork, concern for ethical and responsible behavior, cultivation of analytical and management abilities, and a focus on the development of the professional skills needed for participation in a global community. We believe a vibrant future for aviation and aerospace rests in the success of our students. Toward this end, Embry-Riddle is committed to providing a climate that facilitates the highest standards of academic achievement and knowledge discovery, in an interpersonal environment that supports the unique needs of each individual. Embry-Riddle Aeronautical University is the world's leader in aviation and aerospace education. The University is an independent, non-profit, culturally diverse institution providing quality education and research in aviation, aerospace, engineering and related fields leading to associate, bachelor's, master’s, and doctoral degrees.",51828,33408,1236,0
Embry-Riddle Aeronautical University-Prescott,"Prescott, AZ","At Embry-Riddle, our mission is to teach the science, practice and business of aviation and aerospace, preparing students for productive careers and leadership roles in service around the world.  Our technologically enriched, student-centered environment emphasizes learning through collaboration and teamwork, concern for ethical and responsible behavior, cultivation of analytical and management abilities, and a focus on the development of the professional skills needed for participation in a global community. We believe a vibrant future for aviation and aerospace rests in the success of our students. Toward this end, Embry-Riddle is committed to providing a climate that facilitates the highest standards of academic achievement and knowledge discovery, in an interpersonal environment that supports the unique needs of each individual.  Our technologically enriched, student-centered environment emphasizes learning through collaboration and teamwork, concern for ethical and responsible behavior, cultivation of analytical and management abilities, and a focus on the development of the professional skills needed for participation in a global community. We believe a vibrant future for aviation and aerospace rests in the success of our students. Toward this end, Embry-Riddle is committed to providing a climate that facilitates the highest standards of academic achievement and knowledge discovery, in an interpersonal environment that supports the unique needs of each individual. Embry-Riddle Aeronautical University is the world's leader in aviation and aerospace education. The University is an independent, non-profit, culturally diverse institution providing quality education and research in aviation, aerospace, engineering and related fields leading to associate, bachelor's, master’s, and doctoral degrees.",51036,33408,655,0
Emmanuel College,"Franklin Springs, GA","Emmanuel College is a Christ-centered, liberal arts institution which strives to prepare students to become Christ-like disciples who integrate faith, learning and living for effective careers, scholarship and service.",30910,19370,250,0
Emmaus Bible College,"Dubuque, IA","Our mission as a biblical higher education community is to glorify God by educating and equipping learners to impact the world for Christ through faithful and effective service in their ministries, professions, and communities.",27870,17520,59,0
Finlandia University,"Hancock, MI","A learning community dedicated to academic excellence, spiritual growth and service.",36088,22258,94,0
Florida Institute of Technology,"Melbourne, FL","With our focus on student success, Florida Institute of Technology's mission is to provide high-quality educational experiences to a culturally diverse student body in order to prepare them for entering the global workforce, seeking higher-education opportunities, and serving within their communities.  The university also seeks to further knowledge through basic and applied research and to serve the diverse economic, cultural, and societal needs of our local, state, national and international constituencies.  In support of this mission, we are committed to: -	Fostering and sustaining a productive institutional culture of assessment leading to the continuous improvement of academic and administrative programs in order to promote student development; -	Developing an organizational culture that values and encourages intellectual curiosity, a sense of belonging and shared purpose among faculty, students and staff, and pursuit of excellence in all endeavors; -	Recruiting and developing faculty who are internationally recognized as educators, scholars and researchers; -	Achieving recognition as an effective, innovative, technology-focused educational and research institution; -	Recruiting and retaining an excellent, high selective and culturally diverse student body; -	Continually improving the quality of campus life for members of the university community; -	Providing personal and career growth opportunities for both traditional and nontraditional students and members of the faculty and staff, including those who avail themselves of Florida Tech University Online; -	Securing and maintaining professional accreditation for all appropriate programs.",59650,40490,561,0
Florida Keys Community College,"Key West, FL","Florida Keys Community College is an open-access, educational institution dedicated to serving the intellectual, diverse, cultural, and occupational needs of the Florida Keys as well as the global community. The college is committed to student-centric academic programs and services, workforce development, continuing education, diverse partnerships, electronically delivered instruction, and sustainable practices that prepare students for personal success and responsible citizenship.",20081,2483,195,0
Fort Valley State University,"Fort Valley, GA","The mission of Fort Valley State University is to advance the cause of education with emphasis upon fulfilling commitments that our community members have undertaken collectively. As an institution of the University System of Georgia, Fort Valley State University naturally embraces the principles articulated by the Core Mission Statement for State Universities as approved by the Board of Regents of the University System of Georgia. The university's primary commitments include, among others, enhancement of teacher training programs grounded upon a liberal arts foundation, as reflective of over 110 years of experience and tradition. Additionally, the university recognizes with great pride and desires to further its responsibilities as Georgia's only 1890 Land Grant institution by offering programming excellence in agriculture, agribusiness, family and consumer sciences, extension, technology and military science and leadership, as well as to further its traditions of excellence in programs in the liberal arts and humanities, social sciences, and natural and physical sciences.",21108,4950,521,0
Gadsden State Community College,"Gadsden, AL","Gadsden State Community College is an affordable, accessible, and comprehensive community college that prepares our diverse student population for success through quality education, innovative workforce development, and meaningful community engagement. We foster the development of lifelong learners by giving students the opportunities to develop skills that empower them to contribute to the social, cultural, and economic life of our communities, our nation, and our world.",11025,3570,1042,0
George Fox University,"Newberg, OR","George Fox University, a Christ-centered community, prepares students spiritually, academically, and professionally to think with clarity, act with integrity, and serve with passion.",48902,34500,599,0
George Mason University,"Fairfax, VA","A public, comprehensive, research university established by the Commonwealth of Virginia in the National Capitol Region, we are an innovative and inclusive academic community committed to creating a more just, free, and prosperous world.",29226,8672,3315,0
Georgia Gwinnett College,"Lawrenceville, GA","Georgia Gwinnett College provides access to targeted baccalaureate and associate level degrees that meet the economic development needs of the growing and diverse population of the northeast Atlanta metropolitan region. It emphasizes the innovative use of technology and active-learning environments to provide students enhanced learning experiences, practical opportunities to apply knowledge, increased scheduling flexibility, and a variety of course delivery options. Georgia Gwinnett’s outstanding faculty and staff actively engage students in various learning environments, serve as mentors and advisors, and assist students through programs designed to enhance their academic, social, and personal development. GGC produces contributing citizens and future leaders for Georgia and the nation. Its graduates are inspired to contribute to the local, state, national, and international communities and are prepared to anticipate and respond effectively to an uncertain and changing world.",24364,3136,2432,0
Grand Valley State University,"Allendale, MI","Grand Valley State University educates students to shape their lives, their professions and their societies. The university contributes to the enrichment of society through excellent teaching, active scholarship and public service.",24244,12306,4077,0
Greensboro College,"Greensboro, NC","Greensboro College, an independent, coeducational college affiliated with the United Methodist Church, is an academic and social community that unites the liberal arts and Judeo-Christian values in an atmosphere of diversity and mutual respect.  True to the United Methodist Church's historic ideal of nonsectarian education, Greensboro College's central purpose is the intellectual development of its students within the dual traditions of the liberal arts and the Judeo-Christian faith. Through a disciplined pursuit of truth, its students acquire knowledge and develop a critical awareness that allows them to live humanely, responsibly and productively in a free society. Such lives are characterized by clarity of thought and expression, the ability to reason, a sense of history and a global perspective, an understanding of literature and language, a knowledge of mathematics and science, an appreciation of the arts, an awareness of political and social realities, a familiarity with the biblical tradition and an ethical awareness, a respect for physical soundness, and an understanding of technology.  Through its student development services and other cocurricular offerings, Greensboro College encourages the personal and spiritual development of its students. A range of religious, cultural, service, social and athletic programs allows students to participate meaningfully in a rich campus and community life and encourages students to develop a system of values consistent with the mission of the College.  Through its professional, pre-professional and career-oriented programs, both undergraduate and graduate, Greensboro College encourages, as well, the professional development of its students. Indeed, the College believes the liberal arts curriculum to be the most appropriate context for such programs. A liberal education provides basic intellectual and communicative capabilities that enable a person to develop and to adapt throughout a productive lifetime.",42420,28440,195,0
Harcum College,"Bryn Mawr, PA","Harcum College provides its students with an opportunity  for outstanding academic, career, and life preparation. We  teach, mentor and prepare students for success in their  chosen profession in an experiential environment. Harcum’s  core values of excellence, civility, empowerment, integrity,  community service and respect for diversity assure that every  student is valued and supported.",37265,23500,293,0
Harvey Mudd College,"Claremont, CA","Harvey Mudd College seeks to educate engineers, scientists, and mathematicians well versed in all of these areas and in the humanities and the social sciences so that they may assume leadership in their fields with a clear understanding of the impact of their work on society.",74428,54347,197,0
Hesston College,"Hesston, KS","Hesston College, a college of Mennonite Church USA, educates and nurtures each student within Christ-centered community, integrating thought, life and faith for service to others in the church and the world.",39096,25888,137,0
Highlands College of Montana Tech,"Butte, MT","Montana Tech's Highlands College prepares traditional and non-traditional students for their personal and/or educational goals through the integration of technology, communications, problem solving, and technical skills. We are committed to expand education opportunities through: service learning with work-based activities, a blend of theory and practice, alternative course deliver, and computer literacy.",17150,2499,152,1
Houston Baptist University,"Houston, TX","The mission of Houston Baptist University is to provide a learning experience that instills in students a passion for academic, spiritual, and professional excellence as a result of our central confession, “Jesus Christ is Lord”.",45322,29730,514,0
Howard University,"Washington, DC","Howard University, a culturally diverse, comprehensive, research intensive and historically Black private university, provides an educational experience of exceptional quality at the undergraduate, graduate, and professional levels to students of high academic standing and potential, with particular emphasis upon educational opportunities for Black students. Moreover, the University is dedicated to attracting and sustaining a cadre of faculty who are, through their teaching, research and service, committed to the development of distinguished, historically aware, and compassionate graduates and to the discovery of solutions to human problems in the United States and throughout the world. With an abiding interest in both domestic and international affairs, the University is committed to continuing to produce leaders for America and the global community.",43201,24122,1953,0
Huntingdon College,"Montgomery, AL","Huntingdon College, a liberal arts college offering an undergraduate education, is committed to a teaching and learning environment that provides its graduates with an educational experience meeting the College’s vision.",37235,23639,291,0
Hutchinson Community College,"Hutchinson, KS",Expanding the tradition of excellence through learning and collaboration.,14458,2784,1026,0
Idaho State University,"Pocatello, ID","Idaho State University is a public research-based institution that advances scholarly and creative endeavors through academic instruction, and the creation of new knowledge, research, and artistic works. Idaho State University provides leadership in the health professions, biomedical, and pharmaceutical sciences, as well as serving the region and the nation through its environmental science and energy programs. The University provides access to its regional and rural communities through delivery of preeminent technical, undergraduate, graduate, professional, and interdisciplinary education. The University fosters a culture of diversity, and engages and impacts its communities through partnerships and services.",21111,5425,1489,0
Indiana University-Bloomington,"Bloomington, IN","Bloomington is the flagship residential, doctoral-extensive campus of Indiana University. Its mission is to create, disseminate, preserve, and apply knowledge. It does so through its commitments to cutting-edge research, scholarship, arts, and creative activity; to challenging and inspired undergraduate, graduate, professional, and lifelong education; to culturally diverse and international educational programs and communities; to first-rate library and museum collections; to economic development in the state and region; and to meaningful experiences outside the classroom. The Bloomington campus is committed to full diversity, academic freedom, and meeting the changing educational and research needs of the state, the nation, and the world.",24427,9210,7269,0
Indiana University-Purdue University-Indianapolis,"Indianapolis, IN","Indiana University–Purdue University Indianapolis (IUPUI), a partnership between Indiana and Purdue Universities, is Indiana’s urban research and academic health sciences campus. IUPUI's mission is to advance the State of Indiana and the intellectual growth of its citizens to the highest levels nationally and internationally through research and creative activity, teaching and learning, and civic engagement. By offering a distinctive range of bachelor’s, master’s, professional, and Ph.D. degrees, IUPUI promotes the educational, cultural, and economic development of central Indiana and beyond through innovative collaborations, external partnerships, and a strong commitment to diversity.",22550,8255,3971,1
Indiana University-South Bend,"South Bend, IN","Indiana University South Bend is the comprehensive undergraduate and graduate regional campus of Indiana University that is committed to serving north central Indiana and southwestern Michigan. Its mission is to create, disseminate, preserve, and apply knowledge. The campus is committed to excellence in teaching, learning, research, and creative activity; to strong liberal arts and sciences programs and professional disciplines; to acclaimed programs in the arts and nursing/health professions; and to diversity, civic engagement, and a global perspective. IU South Bend supports student learning, access and success for a diverse residential and nonresidential student body that includes underrepresented and international students. The campus fosters student-faculty collaboration in research and learning. Committed to the economic development of its region and state, Indiana University South Bend meets the changing educational and research needs of the community and serves as a vibrant cultural resource.",19655,6601,969,0
Indiana University-Southeast,"New Albany, IN","Indiana University Southeast is the regional campus of Indiana University that serves southern Indiana and the greater Louisville metropolitan area. As a public comprehensive university, its mission is to provide high-quality educational programs and services that promote student learning and prepare students for productive citizenship in a diverse society, and to contribute to the intellectual, cultural, and economic development of the region. Its academic programs include a comprehensive array of baccalaureate degrees, a limited number of associate degrees, and a selected set of master's programs. The campus is committed to offering educational programs and services which promote and support diversity in all its aspects. The faculty engage in research and creative activities which strengthen teaching and learning through inquiry into both the content and the pedagogy of the disciplines and create opportunities for students to engage in applied learning. Finally, members of the campus community are committed to using their professional and personal expertise to address the intellectual, cultural, and economic development needs of the campus’ service region.",20529,6601,924,0
Iowa Central Community College,"Fort Dodge, IA",Iowa Central Community College provides quality educational opportunities in and outside of the classroom.,15951,4920,1429,0
Iowa Western Community College,"Council Bluffs, IA","Iowa Western Community College is a learning community committed to excellence in meeting the educational needs and improving the quality of life through programs, partnerships, and community involvement.",18990,5120,1114,0
Jefferson Davis Community College,"Brewton, AL","Jefferson Davis Community College, one of the public two-year colleges of the Alabama College System, provides accessible quality educational opportunities through traditional classroom and distance learning formats, promotes economic growth, and enhances the quality of life for the college service area.",13288,3510,279,0
Kentucky Mountain Bible College,"Jackson, KY",Kentucky Mountain Bible College is a Bible-centered undergraduate higher educational institution in a residential setting whose mission is to equip God-called men and women with  - a passion to Know God - a passion to prepare for Missions - a passion to live and teach the message of Biblical holiness - and a passion to evangelize and disciple the world for Christ.,13710,7050,15,0
Kentucky Wesleyan College,"Owensboro, KY","Kentucky Wesleyan College, in partnership with the United Methodist Church, fosters a liberal arts education that nourishes and prepares students intellectually, spiritually and physically to achieve success in life.",39528,24290,189,0
La Salle University,"Philadelphia, PA","La Salle University is a Catholic university in the tradition of the Brothers of the Christian Schools. To a diverse community of learners, La Salle University offers a rigorous curriculum and co-curricular experiences designed to help students gain theoretical and practical knowledge, deepen their ethical sensibilities, and prepare for a lifetime of continuous learning, professional success, and dedicated service.  As a Catholic university rooted in the liberal arts tradition, La Salle challenges students to contemplate life’s ultimate questions as they develop their faith, engage in a free search for truth, and explore their full human potential. As a Lasallian university, named for St. John Baptist de La Salle, patron saint of teachers, La Salle promotes excellence in teaching and scholarship, demonstrates respect for each person, nurtures mentoring relationships, and encourages authentic community. As an urban university, La Salle invites students to enhance their academic experience by immersing themselves in the rich resources of Philadelphia and the region. All members of our community are called to maintain a heightened sensitivity to those marginalized within society as they practice civic engagement, provide leadership with a global perspective, and contribute to the common good.",45476,28800,1023,0
Lamar Community College,"Lamar, CO",We enrich lives through Learning,17385,3470,208,0
