University,Tuition,TuitionIS,UndergradEnroll
Oklahoma State University Institute of Technology,13332,4050,717
Onondaga Community College,16940,4570,2028
Pacific Lutheran University,54800,40352,605
Pacific University,57488,42594,422
Panola College,16679,648,444
Peru State College,19052,5160,232
Piedmont International University,20514,8680,63
Pontifical College Josephinum,39742,21298,10
Presbyterian College,51910,34982,262
Rabbinical College Bobover Yeshiva Bnei Zion,16050,7750,66
Randolph-Macon College,54180,38750,374
Rensselaer Polytechnic Institute,70132,51000,1385
Rhode Island School of Design,67620,48210,304
Robert Morris University,46316,28210,831
Rust College,16500,9700,228
Saint Louis Christian College,20510,11180,3
Saint Peter's University,54036,35326,628
San Diego Christian College,47032,21057,64
San Francisco Conservatory of Music,64945,43700,48
Scripps College,71060,52748,307
Seattle Pacific University,56485,40464,627
Selma University,17915,7020,55
Seton Hall University,57090,38400,1398
Shawnee State University,20910,6251,693
Sheridan College,13846,2256,631
Silver Lake College of the Holy Family,41766,26800,91
Soka University of America,47368,30106,64
South Georgia State College,16560,2224,831
South Georgia Technical College,7256,2136,500
Southern California Seminary,32656,14400,1
Southern Illinois University-Carbondale,28595,8950,1370
Southern Union State Community College,12790,3570,1129
Southwest Mississippi Community College,10250,2800,562
Southwest Texas Junior College,14757,2928,1015
Southwestern Michigan College,19566,4774,651
Spalding University,36778,24000,169
Spartan College of Aeronautics and Technology,30847,17606,243
Spring Arbor University,39970,27150,262
St. John's College,65409,51200,93
St. Mary's University,44490,28590,614
Stetson University,61374,44130,818
Stillman College,21986,9548,163
SUNY College of Technology at Alfred,24859,6670,1109
Susquehanna University,59780,44890,632
Talladega College,22514,11192,153
Temple University,32430,15768,5033
Texas Christian University,62970,44670,1885
The College of Saint Rose,47268,30546,563
The Evergreen State College,21382,6678,517
The University of Texas at Austin,25440,10398,8010
Thiel College,47050,29000,184
Thomas More College,40668,28850,351
Trinidad State Junior College,18972,3469,322
Trinity Valley Community College,16465,1080,993
Universidad Adventista de las Antillas,16470,5870,114
University of Alabama at Birmingham,26096,8328,2262
University of Bridgeport,54508,30150,510
University of California-Santa Cruz,36040,11502,3505
University of Central Florida,22254,4478,6815
University of Chicago,75735,53292,1483
University of Delaware,27792,11870,4429
University of Illinois at Chicago,30662,11907,3825
University of Iowa,22607,7486,4840
University of Louisiana at Monroe,20993,5788,1263
University of Maine at Farmington,22546,8576,436
University of Maryland-Baltimore County,27538,8368,1706
University of Massachusetts-Amherst,30069,15030,4313
University of New Haven,56446,36770,1428
University of New Mexico-Los Alamos Campus,16922,2096,96
University of Pittsburgh-Bradford,28111,12940,337
University of Pittsburgh-Greensburg,29293,12940,426
University of Pittsburgh-Johnstown,28689,12940,751
University of Pittsburgh-Pittsburgh Campus,33250,18130,3836
University of Pittsburgh-Titusville,27521,10958,103
University of Saint Mary,41040,26940,145
University of Scranton,61096,42910,898
University of Southern Indiana,20205,7460,1693
University of Utah,23673,7697,3827
University of Vermont,33274,15504,2232
Valley City State University,18390,5493,186
Valor Christian College,14924,4440,59
Vanguard University of Southern California,46770,31980,429
Vincennes University,19685,5270,2320
Viterbo University,39410,26230,284
Washington Adventist University,34630,21800,107
Washington University in St Louis,71975,50650,1644
Wayne State College,18422,5160,603
Western Illinois University,25835,8630,1197
Western Technical College,15447,3665,800
Westmont College,60930,42890,346
Worcester Polytechnic Institute,65046,47988,994
Xavier University,52380,37000,1224
